実質季節調整系列,,,,,,,,, ,,,,,,,,,,,,,
Gross Domestic Expenditure at Constant Prices (seasonally adjusted series),,,,,,,,,,,,,,,,,,,,,,
※旧68SNA・1990年基準計数（1999年4-6月期から2000年1-3月期の計数は速報値、2000年4-6月期以降の計数は簡便的に推計した参考系列である。）,,,,,,,,,,,,(1990暦年基準),,,,,,(単位:10億円),,,,
"    Former SNA68 series ; Benchmark year=1990 (Apr.-Jun.1999 to Jan.-Mar.2000:Preliminary , Apr.-Jun. to Oct.-Dec.2000:Referential)",,,,,,,,,,,,(at market prices in calendar year of 1990),,,,,,(billion yen),,,,
,民間最終消費支出,民間住宅,民間企業設備,民間在庫品増加,政府最終消費支出,公的固定資本形成,公的在庫品増加,財貨・サービス,,,国内総支出,要素所得,,,国民総支出,国内需要,民間需要,公的需要,,,,
,,,,,,,,純輸出,輸出,輸入,,純受取,受取,支払,,,,,,,,
,Private Consumption,Residential Investment,Non-Resi. Investment,Private Inventory,Government Consumption,Public Investment,Public Inventory,Goods & Services,,,GDE(=GDP),Factor Incomes,,,GNE(=GNP),Domestic Demand,Private Demand,Public Demand,,,,
,,,,,,,,Net Exports,Exports,Imports,,Net,Receipt,Payment,,,,,,,,
1955/ 1- 3.,,,, , ,,,,,,,,,,,,,,,,,
1968/ 1- 3.,88067.5 ,9914.4 ,18366.0 ,1725.6 ,16999.0 ,12023.2 ,218.1 ,-2561.0 ,7124.0 ,9685.0 ,144752.9 ,-380.2 ,502.7 ,882.9 ,144372.7 ,147313.9 ,118073.6 ,29240.3 
4- 6.,91012.6 ,10069.5 ,19199.0 ,1799.7 ,17268.2 ,12209.5 ,309.6 ,-2174.7 ,7804.7 ,9979.4 ,149693.4 ,-401.9 ,525.2 ,927.1 ,149291.4 ,151868.1 ,122080.8 ,29787.3 
7- 9.,93150.0 ,9915.5 ,19826.4 ,2329.3 ,17535.4 ,12305.7 ,242.6 ,-2223.0 ,8016.4 ,10239.4 ,153082.0 ,-462.4 ,507.1 ,969.5 ,152619.6 ,155305.0 ,125221.3 ,30083.7 
10-12.,96041.8 ,11199.1 ,21728.5 ,2710.3 ,17607.7 ,12921.3 ,1727.3 ,-2132.3 ,8534.3 ,10666.7 ,161803.7 ,-496.6 ,555.7 ,1052.3 ,161307.1 ,163936.1 ,131679.7 ,32256.3 
1969/ 1- 3.,98102.3 ,10878.0 ,21454.2 ,3135.1 ,17825.5 ,13197.7 ,366.8 ,-1734.1 ,8888.6 ,10622.7 ,163225.6 ,-412.8 ,646.1 ,1058.9 ,162812.8 ,164959.7 ,133569.7 ,31390.0 
4- 6.,100840.5 ,11610.6 ,24265.2 ,2241.6 ,17926.5 ,12567.6 ,64.8 ,-1537.0 ,9379.9 ,10916.9 ,167979.8 ,-422.2 ,684.1 ,1106.3 ,167557.6 ,169516.8 ,138957.9 ,30558.9 
7- 9.,102171.3 ,12555.3 ,25888.6 ,1874.7 ,18103.1 ,13650.4 ,-27.5 ,-2212.6 ,9800.4 ,12013.0 ,172003.3 ,-529.0 ,755.7 ,1284.7 ,171474.4 ,174215.9 ,142489.9 ,31726.0 
10-12.,105448.7 ,12803.7 ,27662.3 ,1390.7 ,18367.4 ,14525.5 ,1131.3 ,-2613.1 ,9987.8 ,12600.9 ,178716.4 ,-428.9 ,799.5 ,1228.4 ,178287.5 ,181329.5 ,147305.4 ,34024.1 
1970/ 1- 3.,106906.9 ,13405.2 ,29029.8 ,4040.5 ,18581.2 ,14422.2 ,277.4 ,-2471.7 ,10597.6 ,13069.2 ,184191.6 ,-465.4 ,833.4 ,1298.8 ,183726.1 ,186663.2 ,153382.4 ,33280.8 
4- 6.,107661.9 ,13625.8 ,29539.4 ,4986.4 ,18658.1 ,14631.8 ,172.4 ,-2849.6 ,11002.1 ,13851.7 ,186426.3 ,-426.9 ,873.8 ,1300.6 ,185999.5 ,189275.9 ,155813.6 ,33462.3 
7- 9.,111650.4 ,13594.6 ,30170.3 ,4618.5 ,19052.9 ,15986.8 ,-231.9 ,-3417.8 ,11299.3 ,14717.1 ,191423.8 ,-333.6 ,956.1 ,1289.7 ,191090.2 ,194841.6 ,160033.8 ,34807.8 
10-12.,110914.5 ,13644.6 ,29926.5 ,4144.5 ,19409.6 ,16341.8 ,-463.5 ,-3110.7 ,11843.6 ,14954.3 ,190807.2 ,-391.3 ,920.6 ,1311.9 ,190415.9 ,193918.0 ,158630.1 ,35287.9 
1971/ 1- 3.,112719.5 ,14106.3 ,29870.2 ,3226.0 ,19538.7 ,16662.3 ,-128.3 ,-3449.8 ,12493.4 ,15943.2 ,192545.0 ,-347.8 ,983.2 ,1331.0 ,192197.2 ,195994.8 ,159922.1 ,36072.7 
4- 6.,114632.3 ,14075.2 ,29231.2 ,2398.1 ,19672.1 ,17977.6 ,-78.0 ,-2256.8 ,13154.9 ,15411.7 ,195651.7 ,-249.6 ,1033.7 ,1283.3 ,195402.1 ,197908.5 ,160336.8 ,37571.7 
7- 9.,116024.0 ,14142.3 ,28671.6 ,2647.7 ,19972.0 ,18759.1 ,-880.5 ,-1300.7 ,13408.0 ,14708.7 ,198035.5 ,-275.4 ,1072.8 ,1348.1 ,197760.1 ,199336.1 ,161485.6 ,37850.5 
10-12.,117707.2 ,14510.1 ,27959.9 ,3290.2 ,20203.6 ,19675.1 ,-1845.2 ,-1661.5 ,12886.9 ,14548.4 ,199839.5 ,-180.4 ,1261.4 ,1441.9 ,199659.0 ,201501.0 ,163467.4 ,38033.6 
1972/ 1- 3.,120809.8 ,15402.2 ,28756.5 ,2908.3 ,20517.7 ,21531.2 ,-336.0 ,-3239.8 ,12922.5 ,16162.3 ,206350.0 ,-196.6 ,1221.8 ,1418.4 ,206153.4 ,209589.7 ,167876.8 ,41713.0 
4- 6.,124124.9 ,16502.1 ,29129.2 ,1840.5 ,20771.9 ,20992.3 ,-241.6 ,-2885.2 ,12672.4 ,15557.6 ,210234.0 ,-39.8 ,1371.8 ,1411.6 ,210194.3 ,213119.3 ,171596.7 ,41522.6 
7- 9.,126873.4 ,17390.9 ,29459.2 ,2729.8 ,20861.1 ,21121.7 ,-317.1 ,-3397.6 ,13772.1 ,17169.7 ,214721.4 ,93.9 ,1521.4 ,1427.4 ,214815.3 ,218119.0 ,176453.3 ,41665.7 
10-12.,130181.0 ,17657.8 ,30812.3 ,2959.3 ,21178.3 ,21435.4 ,-731.5 ,-3369.4 ,14656.1 ,18025.5 ,220123.0 ,207.8 ,1434.0 ,1226.2 ,220330.8 ,223492.4 ,181610.3 ,41882.1 
1973/ 1- 3.,133891.3 ,18339.5 ,31632.7 ,3542.7 ,21384.1 ,24189.1 ,-401.7 ,-5092.4 ,14179.7 ,19272.2 ,227485.2 ,194.6 ,1722.3 ,1527.8 ,227679.7 ,232577.6 ,187406.1 ,45171.5 
4- 6.,134272.0 ,19307.2 ,32665.7 ,5785.0 ,21902.4 ,23011.1 ,-509.1 ,-6868.4 ,13855.2 ,20723.6 ,229565.8 ,-70.5 ,1600.2 ,1670.7 ,229495.4 ,236434.3 ,192029.9 ,44404.3 
7- 9.,136991.0 ,19268.4 ,34715.9 ,2425.9 ,22073.3 ,21595.9 ,63.2 ,-6898.4 ,14170.4 ,21068.8 ,230235.3 ,120.7 ,1808.4 ,1687.8 ,230356.0 ,237133.7 ,193401.3 ,43732.4 
10-12.,141349.3 ,20418.9 ,35807.8 ,-37.8 ,22482.2 ,20596.3 ,-245.0 ,-7291.2 ,14776.7 ,22067.9 ,233080.4 ,-101.3 ,1779.6 ,1880.9 ,232979.1 ,240371.6 ,197538.2 ,42833.4 
1974/ 1- 3.,132869.8 ,18897.5 ,34191.9 ,6615.1 ,21319.2 ,17610.2 ,-100.0 ,-6332.1 ,15625.6 ,21957.7 ,225071.7 ,-209.1 ,2001.6 ,2210.7 ,224862.6 ,231403.8 ,192574.4 ,38829.4 
4- 6.,136442.2 ,15526.0 ,32801.4 ,5079.7 ,21738.3 ,20167.3 ,-172.3 ,-4889.7 ,17269.1 ,22158.8 ,226693.0 ,-310.5 ,1713.4 ,2023.9 ,226382.5 ,231582.7 ,189849.3 ,41733.4 
7- 9.,139148.7 ,16851.2 ,31553.3 ,3702.8 ,21953.8 ,20142.2 ,-314.0 ,-3444.2 ,18107.6 ,21551.8 ,229593.9 ,-572.6 ,2144.1 ,2716.7 ,229021.2 ,233038.0 ,191256.0 ,41782.1 
10-12.,137799.9 ,16810.0 ,31038.2 ,737.7 ,22466.8 ,20955.2 ,557.0 ,-2016.1 ,19008.6 ,21024.7 ,228348.7 ,-605.6 ,2206.9 ,2812.4 ,227743.1 ,230364.8 ,186385.9 ,43979.0 
1975/ 1- 3.,140898.9 ,15138.1 ,30661.0 ,-2.4 ,23917.7 ,20259.2 ,267.8 ,-2492.8 ,17171.5 ,19664.3 ,228647.5 ,-444.1 ,2094.7 ,2538.8 ,228203.4 ,231140.3 ,186695.6 ,44444.7 
